Match_ID,Match_Date,League,Home_Team,Away_Team,Venue_Type,Weather,Home_Goals,Away_Goals,Possession_Home_Percent,Shots_On_Target_Home,Shots_On_Target_Away,Fouls_Committed,Yellow_Cards,Red_Cards,Attendance,Possession_Away_Percent,Match_Result,Total_Goals,Goal_Difference,Absolute_Goal_Difference,Total_Shots_On_Target,Possession_Difference,Absolute_Possession_Difference,Year,Month,Day_Name
MTC-20869,2022-08-02,Championship League,Jaipur Lions,Goa Sharks,Home,Rainy,2,3,54,13,10,7,3,0,27877,46,Away Win,5,-1,1,23,8,8,2022,8,Tuesday
MTC-23099,2022-08-02,Cup Series,Delhi Dynamos,Chennai Titans,Neutral,Clear,2,1,67,5,12,16,2,0,20229,33,Home Win,3,1,1,17,34,34,2022,8,Tuesday
MTC-22149,2022-08-03,Cup Series,Bengaluru FC,Delhi Dynamos,Home,Rainy,5,2,35,3,14,13,5,1,59436,65,Home Win,7,3,3,17,-30,30,2022,8,Wednesday
MTC-21109,2022-08-03,Premier Division,Delhi Dynamos,Kerala Blasters,Neutral,Windy,0,2,31,1,0,13,1,1,20339,69,Away Win,2,-2,2,1,-38,38,2022,8,Wednesday
MTC-22321,2022-08-03,Premier Division,Kerala Blasters,Bengaluru FC,Neutral,Rainy,2,5,57,6,5,5,3,0,20143,43,Away Win,7,-3,3,11,14,14,2022,8,Wednesday
MTC-23607,2022-08-03,Cup Series,Chennai Titans,Kerala Blasters,Home,Cloudy,1,5,44,6,3,14,5,0,63821,56,Away Win,6,-4,4,9,-12,12,2022,8,Wednesday
MTC-20509,2022-08-03,Cup Series,Chennai Titans,Kolkata Strikers,Away,Clear,1,4,49,6,6,7,3,0,47123,51,Away Win,5,-3,3,12,-2,2,2022,8,Wednesday
MTC-21119,2022-08-03,Premier Division,Delhi Dynamos,Kolkata Strikers,Neutral,Cloudy,2,5,49,14,3,19,1,1,5062,51,Away Win,7,-3,3,17,-2,2,2022,8,Wednesday
MTC-20776,2022-08-03,Cup Series,Goa Sharks,Mumbai United,Neutral,Clear,1,2,49,9,7,24,1,0,47536,51,Away Win,3,-1,1,16,-2,2,2022,8,Wednesday
MTC-21658,2022-08-04,Cup Series,Kolkata Strikers,Jaipur Lions,Neutral,Clear,5,1,36,10,2,8,6,0,55467,64,Home Win,6,4,4,12,-28,28,2022,8,Thursday
MTC-23333,2022-08-04,Championship League,Bengaluru FC,Chennai Titans,Neutral,Rainy,2,0,47,6,7,18,4,1,47669,53,Home Win,2,2,2,13,-6,6,2022,8,Thursday
MTC-20257,2022-08-04,Premier Division,Delhi Dynamos,Pune Warriors,Home,Cloudy,3,0,64,8,10,11,5,1,56824,36,Home Win,3,3,3,18,28,28,2022,8,Thursday
MTC-21929,2022-08-04,Championship League,Mumbai United,Kerala Blasters,Neutral,Rainy,0,0,55,0,12,17,1,0,62585,45,Draw,0,0,0,12,10,10,2022,8,Thursday
MTC-20893,2022-08-04,Championship League,Goa Sharks,Kerala Blasters,Away,Clear,3,5,40,8,3,20,1,0,59846,60,Away Win,8,-2,2,11,-20,20,2022,8,Thursday
MTC-20938,2022-08-05,Premier Division,Goa Sharks,Kolkata Strikers,Neutral,Clear,5,1,64,12,6,20,3,0,40514,36,Home Win,6,4,4,18,28,28,2022,8,Friday
MTC-23123,2022-08-05,Championship League,Bengaluru FC,Kolkata Strikers,Neutral,Cloudy,1,4,37,0,8,14,5,1,61843,63,Away Win,5,-3,3,8,-26,26,2022,8,Friday
MTC-22751,2022-08-05,Cup Series,Jaipur Lions,Mumbai United,Home,Rainy,2,3,47,9,14,24,0,0,18436,53,Away Win,5,-1,1,23,-6,6,2022,8,Friday
MTC-22238,2022-08-06,Championship League,Mumbai United,Kolkata Strikers,Away,Cloudy,3,3,49,1,0,19,3,1,16024,51,Draw,6,0,0,1,-2,2,2022,8,Saturday
MTC-21408,2022-08-06,Cup Series,Jaipur Lions,Goa Sharks,Neutral,Clear,4,0,30,14,1,22,3,1,52605,70,Home Win,4,4,4,15,-40,40,2022,8,Saturday
MTC-20746,2022-08-06,Premier Division,Jaipur Lions,Chennai Titans,Neutral,Clear,2,3,45,6,9,14,2,1,20784,55,Away Win,5,-1,1,15,-10,10,2022,8,Saturday
MTC-23710,2022-08-06,Premier Division,Mumbai United,Jaipur Lions,Neutral,Rainy,4,0,66,9,11,16,3,1,61049,34,Home Win,4,4,4,20,32,32,2022,8,Saturday
